neigh,lot,budget,status,runtime_s,gap,y_price,y_price_out,y_log_in,y_log_out,cost,obj,floor1,floor2,area_1st,area_2nd,bsmt,beds,fullbath,halfbath,kitchen
Edwards,11556.0,500000.0,9,300.0409998893738,0.12181668524329944,212493.74394826364,266909.0625,12.266439309898384,12.494667053222656,197934.32999999955,14559.41394826409,1.0,-0.0,450.0,0.0,408.9999999999992,2.0,1.0,-0.0,1.0
Edwards,7438.0,700000.0,9,300.05400013923645,26.000428850710087,194547.8414476429,240946.640625,12.178203533436472,12.392334938049316,201012.5,-6464.658552357112,1.0,0.0,450.0,0.0,116.0,2.0,1.0,0.0,1.0
Edwards,9434.0,700000.0,9,300.0609998703003,26.000428850710087,194547.8414476429,240946.640625,12.178203533436472,12.392334938049316,201012.5,-6464.658552357112,1.0,0.0,450.0,0.0,116.0,2.0,1.0,0.0,1.0
Edwards,11556.0,700000.0,9,300.05400013923645,26.000428850710087,194547.8414476429,240946.640625,12.178203533436472,12.392334938049316,201012.5,-6464.658552357112,1.0,0.0,450.0,0.0,116.0,2.0,1.0,0.0,1.0
Gilbert,7438.0,200000.0,2,61.30900001525879,0.000907946969058231,207259.63438383996,269623.75,12.241591730623023,12.504786491394043,194479.32999999987,12780.304383840092,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
Gilbert,9434.0,200000.0,2,58.48900008201599,0.000907946969058231,207259.63438383996,269623.75,12.241591730623023,12.504786491394043,194479.32999999987,12780.304383840092,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
Gilbert,11556.0,200000.0,2,59.21300005912781,0.000907946969058231,207259.63438383996,269623.75,12.241591730623023,12.504786491394043,194479.32999999987,12780.304383840092,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
Gilbert,7438.0,500000.0,9,300.05000019073486,101.59979299636467,215602.75939374432,284939.78125,12.280998404932376,12.560036659240723,217166.82999999978,-1564.0706062554673,1.0,-0.0,450.0,0.0,384.00000000000006,2.0,1.0,-0.0,1.0
Gilbert,9434.0,500000.0,9,300.0440001487732,101.59979299636467,215602.75939374432,284939.78125,12.280998404932376,12.560036659240723,217166.82999999978,-1564.0706062554673,1.0,-0.0,450.0,0.0,384.00000000000006,2.0,1.0,-0.0,1.0
Gilbert,11556.0,500000.0,9,300.06699991226196,101.83891490427325,215602.75939374432,284939.78125,12.280998404932376,12.560036659240723,217166.82999999978,-1564.0706062554673,1.0,-0.0,450.0,0.0,384.00000000000006,2.0,1.0,-0.0,1.0
Gilbert,7438.0,700000.0,9,300.0829999446869,11.619492093133557,229160.27081508274,293755.25,12.342097443423153,12.590505599975586,259146.8299999964,-29986.55918491367,1.0,-0.0,662.9999999999867,0.0,663.0,2.0,1.0,-0.0,1.0
Gilbert,9434.0,700000.0,9,300.0440001487732,11.720425623533407,229160.27081508274,293755.25,12.342097443423153,12.590505599975586,259146.8299999964,-29986.55918491367,1.0,-0.0,662.9999999999867,0.0,663.0,2.0,1.0,-0.0,1.0
Gilbert,11556.0,700000.0,9,300.05400013923645,11.720425623533407,229160.27081508274,293755.25,12.342097443423153,12.590505599975586,259146.8299999964,-29986.55918491367,1.0,-0.0,662.9999999999867,0.0,663.0,2.0,1.0,-0.0,1.0
StoneBr,7438.0,200000.0,2,53.0550000667572,0.0,214781.7413461618,276682.9375,12.277153689462482,12.530631065368652,197350.0,17431.74134616193,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
StoneBr,9434.0,200000.0,2,53.10899996757507,0.0,214781.7413461618,276682.9375,12.277153689462482,12.530631065368652,197350.0,17431.74134616193,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
StoneBr,11556.0,200000.0,2,53.35199999809265,0.0,214781.7413461618,276682.9375,12.277153689462482,12.530631065368652,197350.0,17431.74134616193,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
StoneBr,7438.0,500000.0,9,300.06199979782104,161.64331421671878,230392.05319204042,298515.28125,12.347376589728306,12.606579780578613,232313.5,-1921.4468079595827,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
StoneBr,9434.0,500000.0,9,300.0720000267029,161.64331421671878,230392.05319204042,298515.28125,12.347376589728306,12.606579780578613,232313.5,-1921.4468079595827,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
StoneBr,11556.0,500000.0,9,300.0659999847412,161.64331421671878,230392.05319204042,298515.28125,12.347376589728306,12.606579780578613,232313.5,-1921.4468079595827,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
StoneBr,7438.0,700000.0,9,300.03700017929077,36.877707744345926,195441.7069076357,251751.09375,12.182777209972564,12.436200141906738,187130.0,8311.7069076357,1.0,0.0,450.0,0.0,116.0,2.0,1.0,0.0,1.0
StoneBr,9434.0,700000.0,9,300.0380001068115,36.877707744345926,195441.7069076357,251751.09375,12.182777209972564,12.436200141906738,187130.0,8311.7069076357,1.0,0.0,450.0,0.0,116.0,2.0,1.0,0.0,1.0
